(-7420,3206)
(4770,-3665)
(-8634,1242)
(2509,-1653)
(-7001,1898)
(9697,4853)
(2537,1367)
(1811,-7653)
(8076,4467)
(7612,1719)
(5068,7268)
(2719,3340)
(-8990,-6546)
(1155,-4839)
(7382,-5960)
(-804,-4546)
(48,6070)
(2884,8476)
(-8733,-9974)
(284,-9297)
(-3425,-5978)
(9634,5820)
(-7534,4776)
(-6840,-4801)
(-7679,-4747)
(-6123,-4601)
(9047,1882)
(3775,-8248)
(5850,-5897)
(697,-5487)
(98,-3440)
(5261,8890)
(-9987,2677)
(-7679,-3365)
(5325,6984)
(9399,-1404)
(2318,64)
(2,-4795)
(-3984,-4753)
(-6306,-5558)
(9623,3789)
(-3674,-5792)
(-2670,-2799)
(-470,6616)
(4556,-7325)
(-4413,-8340)
(-7793,1698)
(-819,-2961)
(-512,3516)
(-3578,-3129)
(9727,106)
(-2962,3505)
(4148,7551)
(8545,-5819)
(2690,6738)
(1904,482)
(6381,-8337)
(3921,-3383)
(8173,-9313)
(1791,2686)
(7248,1521)
(-3203,7871)
(2498,-3452)
(9873,-2713)
(-8284,-704)
(-3757,-3071)
(-5966,1948)
(6560,-4505)
(424,-5467)
(8196,-2299)
(-8089,-4040)
(4664,-2460)
(-7530,9543)
(-173,8004)
(-5954,1029)
(6132,-8091)
(5988,-5683)
(6062,6603)
(1902,3561)
(4040,8448)
(8911,902)
(9559,3713)
(-7803,623)
(6106,-7776)
(4952,6718)
(8639,5876)
(2072,-3070)
(4143,-4527)
(-1000,3924)
(-9650,-6768)
(5559,-2335)
(1994,3720)
(6960,607)
(9734,5236)
(-7298,-914)
(5658,1154)
(6136,-5118)
(-3447,-9618)
(6216,6893)
(-6414,-2054)
(3518,-4463)
(-3513,-5964)
(-3127,-3578)
(7287,6683)
(1041,8136)
(-4812,8690)
(-2265,8460)
(-6540,4329)
(-289,2477)
(7110,-9901)
(-5770,-7474)
(-8827,-7398)
(-2672,-3596)
(2551,828)
(-309,-9892)
(320,8516)
(8611,7562)
(-8670,4093)
(-7643,9913)
(5442,-1719)
(-8648,6505)
(6148,8508)
(-9515,-5544)
(5259,8576)
(-7291,-2915)
(-6664,5259)
(5843,-9367)
(9237,6979)
(-1425,-7683)
(9633,-8354)
(-8979,-6183)
(-5448,9884)
(2073,-6418)
(8223,-5567)
(-8805,6638)
(-3688,5668)
(-5899,1957)
(2621,1085)
(5257,8842)
(-3527,2067)
(3102,5080)
(-424,7320)
(544,-7524)
(1711,-617)
(-554,7898)
(-9551,-1933)
(-4469,5325)
(9576,-8815)
(-2465,-6946)
(5846,-3175)
(-4794,-1489)
(7323,9221)
(7507,-5061)
(6579,-2810)
(-3450,-6557)
(-1096,-6205)
(-5415,64)
(-4968,-4615)
(-7159,8182)
(-9131,-5402)
(2840,7581)
(-6092,6949)
(-9442,-2946)
(-281,9531)
(-7733,6256)
(6242,8342)
(2392,2442)
(3428,-146)
(7022,-7341)
(390,-9574)
(3326,91)
(-5378,-5209)
(-4648,265)
(-1598,3159)
(279,-3782)
(-8641,9661)
(7436,-7814)
(-2438,9170)
(-2934,3365)
(793,1401)
(4698,505)
(-4331,-5603)
(6358,900)
(-8943,3099)
(984,-3862)
(6809,-8133)
(-3939,5875)
(2121,-1526)
(-4731,4780)
(-5080,3917)
(-600,8331)
(-858,2633)
(6242,-6514)
(-2558,8015)
(6851,3221)
(-3871,-2091)
(-2450,-3959)
(-3539,500)
(263,-9595)
(-5723,-5150)
(-1800,7233)
(-2200,9421)
(-1035,4169)
(-6817,7308)
(-2075,-8330)
(-9652,-2958)
(3815,-8437)
(7826,-3229)
(-1718,-1171)
(9663,-5525)
(-5061,-655)
(2618,8305)
(-838,-6932)
(-9093,2444)
(4505,-7690)
(-8509,-4384)
(-1299,3510)
(1916,-5349)
(6163,-75)
(-8967,5903)
(8335,-5324)
(3784,5436)
(305,-5163)
(-5004,3437)
(7291,4729)
(-5582,1709)
(-6848,-8039)
(7914,-2215)
(9044,3299)
(3534,960)
(6979,6154)
(8797,-3168)
(2424,-8094)
(4703,7433)
(3371,3862)
(8655,2468)
(-4232,-5675)
(6518,-8575)
(307,3808)
(-4536,5291)
(-7478,9365)
(726,6249)
(331,8947)
(8440,8962)
(-3017,7186)
(1214,9896)
(-1499,8721)
(-2895,-4048)
(1690,9083)
(-215,-271)
(1318,-2371)
(-7780,-838)
(3699,-7956)
(-8022,-5011)
(-9106,-1863)
(-7530,6751)
(-5898,-437)
(6214,-2729)
(6675,9691)
(4685,-2835)
(2433,2900)
(3229,9875)
(-6378,-4373)
(-7932,-4129)
(-8219,-1873)
(3693,1147)
(507,-6077)
(4597,-5429)
(3079,5392)
(1032,1981)
(7601,9841)
(1216,440)
(-3109,-6022)
(-7717,5149)
(-3227,377)
(4626,-9666)
(4899,-8872)
(7721,843)
(-6168,2170)
(2996,-4929)
(3450,9048)
(3074,-6157)
(-3596,-6759)
(6114,9108)
(6612,-3576)
(7877,424)
(3504,2244)
(-8940,3695)
(-6486,1526)
(918,-6600)
(-7082,5861)
(6606,1670)
(-5719,-7127)
(9192,-6944)
(-9527,-1493)
(5244,-1358)
(-7970,-548)
(-8232,9656)
(7859,-1964)
(-7074,2533)
(-5942,4510)
(3115,-3874)
(1904,-1625)
(-8250,1398)
(1111,-9437)
(-9499,-8485)
(-6671,9387)
(-3352,2818)
(-7513,3173)
(2163,-3618)
(8325,7027)
(1399,8704)
(-8239,3170)
(-8452,-7787)
(9478,-7343)
(-5829,6912)
(-6580,-8979)
(6101,7526)
(-7767,9886)
(-488,7652)
(9587,-8063)
(-6891,7012)
(-4808,-9901)
(-4190,-8053)
(-596,-7810)
(-7316,5662)
(-1037,-2690)
(-2815,-9905)
(-6817,3249)
(-6971,1608)
(1924,9437)
(7061,-9545)
(5993,9568)
(6636,-5730)
(-8283,-5957)
(5187,9407)
(3354,9750)
(5733,-8414)
(-7092,7462)
(4959,-5211)
(-5900,9265)
(3238,-9090)
(-8803,1599)
(-6294,-3539)
(-4215,9239)
(5893,-752)
(7017,5867)
(-3398,5317)
(-5092,-521)
(9153,-3141)
(-7725,3778)
(-2880,-2627)
(-5996,3239)
(-8275,-2470)
(-201,-6927)
(-850,-1011)
(5632,5826)
(-3989,2022)
(5766,-7649)
(1235,7678)
(5847,-4077)
(8482,-4480)
(-5456,-1960)
(3120,-5028)
(-1204,2052)
(-1885,-2350)
(8281,-9657)
(2305,1170)
(6454,-4968)
(-524,-6643)
(7413,1853)
(-5187,1807)
(8296,-4735)
(4780,-5620)
(-8232,-6868)
(-9526,4421)
(-773,-8361)
(-6750,8433)
(9106,1066)
(4643,9366)
(-4584,5961)
(-6969,9718)
(-34,6568)
(9407,7093)
(126,-2726)
(-8079,-6383)
(-9577,-1344)
(-6898,-9760)
(5263,4542)
(-7717,-8265)
(7332,2396)
(-2940,2935)
(6867,6755)
(1471,9952)
(5160,9955)
(-1125,-5431)
(-1451,7111)
(-8533,3035)
(1936,-2185)
(662,-475)
(3576,3244)
(-2236,-5657)
(4354,9448)
(-6677,3874)
(-426,13)
(7032,-3946)
(795,-3400)
(4637,2723)
(-1342,-7217)
(-8853,9903)
(8524,-5225)
(-4735,1978)
(8279,-92)
(4638,8233)
(292,-2690)
(2593,-1247)
(-312,1833)
(5417,6209)
(2536,6879)
(-4057,-9697)
(-6455,-625)
(2566,4090)
(8675,-4715)
(5634,-5682)
(624,-2120)
(2611,1383)
(-815,7493)
(8257,2232)
(1724,-5154)
(-6520,-5710)
(-8439,-8168)
(-5383,-683)
(-1986,282)
(-2155,668)
(4547,-3814)
(34,-3483)
(5678,2754)
(-7321,5570)
(-6180,-2007)
(-6890,-4831)
(1607,-5402)
(2958,-4478)
(-37,6613)
(-1054,-8586)
(985,3375)
(-5471,-4688)
(-8913,-216)
(9173,-3002)
(-6939,-6065)
(-2504,-4020)
(9153,3348)
(5264,6999)
(4815,7191)
(9892,2286)
(-3245,5983)
(2319,7830)
(7131,1131)
(-9898,-1374)
(7921,-7253)
(2136,-4662)
(-4271,9476)
(-9729,8935)
(-1992,-2845)
(3391,-9575)
(-6037,5543)
(-2590,-9929)
(-4793,3168)
(-321,4813)
(-2260,-9712)
(-8606,-8170)
(-8944,-6028)
(-3823,-5631)
(9701,-1441)
(-2077,7917)
(-5948,4923)
(4590,1228)
(158,-4977)
(2850,643)
(-950,6113)
(646,9490)
(-2628,-6679)
(-1387,-9845)
(-8967,2388)
(-2924,-4209)
(5794,-2793)
(1170,9621)
(7761,-1094)
(-5780,935)
(6608,3483)
(7891,1952)
(7256,267)
(-1556,-2202)
(3814,-249)
(9275,8718)
(-8053,3726)
(6640,-7854)
(-3486,8195)
(5469,-5571)
(387,-2773)
(1223,-2811)
